feedback_times,probabilityLeft,contrastLeft,feedbackType,goCue_times,stimOn_times,choice,rewardVolume,firstMovement_times,contrastRight,response_times
904.832,0.8,0.125,1.0,904.5616,904.5332999999999,1.0,1.5,904.6027985740469,,904.8318999999999
908.2746,0.8,0.25,1.0,908.151,908.1161999999999,1.0,1.5,908.1277985740466,,908.2745
912.3935,0.8,,-1.0,912.0045,911.975,1.0,0.0,912.1077985740461,0.125,912.362
916.1426,0.8,0.125,1.0,915.9870000000001,915.9581000000001,1.0,1.5,915.8517985740457,,916.1425
921.15,0.8,0.0625,1.0,920.6966,920.6661,1.0,1.5,920.9227985740451,,921.1499
924.012,0.8,1.0,1.0,923.9059,923.8745,1.0,1.5,923.8067985740448,,924.0119
927.6223,0.8,0.0625,1.0,926.7713,926.7413,1.0,1.5,927.4787985740444,,927.6222
930.9365,0.8,0.125,1.0,930.2927,930.2655,1.0,1.5,930.483798574044,,930.9364
934.9669,0.8,0.0625,1.0,934.4652,934.4326,1.0,1.5,934.7477985740436,,934.9667999999999
939.3985,0.8,0.0625,1.0,938.9868,938.9574,1.0,1.5,939.1587985740431,,939.3983999999999
944.0668,0.8,0.0625,1.0,943.8524,943.8154999999999,1.0,1.5,943.8687985740427,,944.0667
947.2148,0.8,,-1.0,946.8538,946.8240999999999,1.0,0.0,946.9317985740423,0.125,947.1786999999999
951.3552,0.8,1.0,1.0,950.9803,950.9488,1.0,1.5,951.0767985740418,,951.3551
954.3607,0.8,0.125,1.0,953.9526,953.924,1.0,1.5,954.1507985740415,,954.3606
958.1510999999999,0.8,,-1.0,957.7660999999999,957.7323,1.0,0.0,957.7747985740411,0.125,958.1202
964.3299000000001,0.8,0.0625,-1.0,962.6527,962.6239,-1.0,0.0,964.1657985740404,,964.2989
968.5971,0.8,0.125,1.0,968.0353,967.9984,1.0,1.5,968.4567985740399,,968.597
972.0849,0.8,0.0,1.0,971.3007,971.2648999999999,1.0,1.5,971.9577985740395,,972.0848
976.0608,0.8,0.25,1.0,975.7613,975.7237,1.0,1.5,975.8087985740391,,976.0607
978.8956999999999,0.8,,-1.0,978.6945999999999,978.6650999999999,1.0,0.0,978.6987985740387,0.125,978.8653999999999
983.6785,0.8,1.0,1.0,983.4732,983.4399999999999,1.0,1.5,983.5207985740383,,983.6784
987.0216,0.8,0.125,1.0,986.3626,986.3317000000001,1.0,1.5,986.8417985740379,,987.0215000000001
990.1529999999999,0.8,,-1.0,989.6439999999999,989.6148999999999,1.0,0.0,989.9197985740376,0.0,990.1206
994.3838,0.8,0.125,1.0,993.8305,993.798,1.0,1.5,994.1397985740371,,994.3837
997.4616,0.8,0.0,1.0,996.9839,996.9563999999999,1.0,1.5,997.3177985740367,,997.4615
1000.5193999999999,0.8,1.0,1.0,1000.1972999999999,1000.1646,1.0,1.5,1000.3017985740364,,1000.5192999999999
1003.5044,0.8,0.125,1.0,1003.3626,1003.3311,1.0,1.5,1003.3627985740361,,1003.5043000000001
1006.452,0.8,,-1.0,1006.268,1006.2309,1.0,0.0,1006.2727985740357,0.0,1006.4182
1012.8652,0.8,0.0,1.0,1010.0535,1010.0228,1.0,1.5,1012.625798574035,,1012.8651
1017.0660999999999,0.8,0.0625,1.0,1016.5193,1016.4892999999998,1.0,1.5,1016.7717985740346,,1017.0659999999999
1020.3335999999998,0.8,0.25,1.0,1019.7045999999999,1019.6726,1.0,1.5,1020.1277985740343,,1020.3334999999998
1023.4832999999998,0.8,0.125,1.0,1023.1460999999998,1023.1135999999998,1.0,1.5,1023.2567985740338,,1023.4831999999998
1027.1166,0.2,,-1.0,1026.3355,1026.3057000000001,1.0,0.0,1026.7157985740334,1.0,1027.0789
1032.2912000000001,0.2,,1.0,1031.8021,1031.7725,-1.0,1.5,1032.1107985740327,0.125,1032.2911000000001
1036.7687,0.2,0.0,-1.0,1035.5956,1035.5635,-1.0,0.0,1036.5947985740322,,1036.7387
1042.4595,0.2,,1.0,1040.7582,1040.7223999999999,-1.0,1.5,1042.3207985740316,0.0625,1042.4594
1046.2551,0.2,,1.0,1045.0917000000002,1045.0637000000002,-1.0,1.5,1046.1807985740313,1.0,1046.255
1051.6936,0.2,,-1.0,1048.8762,1048.8468,1.0,0.0,1051.4557985740307,1.0,1051.6627
1056.6891000000003,0.2,0.125,1.0,1056.2871000000002,1056.2553000000003,1.0,1.5,1056.45779857403,,1056.689
1060.1507000000001,0.2,,1.0,1059.3365000000001,1059.3050000000003,-1.0,1.5,1059.9247985740296,1.0,1060.1506000000002
1064.0631,0.2,,-1.0,1062.9419,1062.9134000000001,1.0,0.0,1063.8827985740293,0.125,1064.0336000000002
1068.0926000000002,0.2,,-1.0,1067.8675,1067.8384,1.0,0.0,1067.896798574029,0.0,1068.0615000000003
1072.8833000000002,0.2,,1.0,1071.8890000000001,1071.8548000000003,-1.0,1.5,1072.7757985740284,0.0,1072.8832000000002
1076.3728,0.2,,1.0,1076.0415,1076.0128,-1.0,1.5,1076.1157985740278,1.0,1076.3727000000001
1079.755,0.2,,-1.0,1079.0259,1078.9957000000002,1.0,0.0,1079.6047985740277,0.125,1079.7232000000001
1085.0468,0.2,0.125,1.0,1083.3764,1083.3463000000002,1.0,1.5,1084.815798574027,,1085.0467
1090.9433000000001,0.2,,-1.0,1088.1180000000002,1088.0879000000002,1.0,0.0,1090.7797985740262,0.0625,1090.9139000000002
1096.8304,0.2,0.0,1.0,1095.1329,1095.1044000000002,1.0,1.5,1096.5707985740257,,1096.8303
1100.6435000000001,0.2,,-1.0,1099.5064000000002,1099.4709000000003,1.0,0.0,1100.4097985740252,1.0,1100.6082000000001
1106.3102000000001,0.2,,-1.0,1104.2930000000001,1104.2625,1.0,0.0,1105.9727985740246,0.125,1106.2683000000002
